# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#HOLD
11160	186	354	200	380	0
11170	245	354	260	380	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#KICK RIGHT & LEFT
11260	2	274	22	300	0
11270	423	274	443	300	0

#HOLD WALK
11310	155	314	170	340	0
11320	275	314	290	340	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	362	154	382	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#HOLD RUN
11360	125	314	140	340	0
11370	305	314	320	340	0

#JUMP WALK RIGHT & LEFT 
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

############ SMALL ################
#IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#HOLD
12160	185	120	200	135	0
12170	246	120	259	135	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#KICK RIGHT & LEFT
12260	5	80	20	95	0
12270	425	80	440	95	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#HOLD MOVE RIGHT & LEFT
12360	155	120	169	135	0
12370	276	120	290	135	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12412	35	80	50	95	0
12416	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
