# id	left	top	right	bottom	texture_id
[SPRITES]
#SMALL_BUSH
95000	131	11	146	26	20

#BIG_BUSH
96000	170	12	185	27	20
96100	187	12	202	27	20
96200	170	29	185	44	20
96300	187	29	202	44	20
96400	170	46	185	61	20
96500	187	46	202	61	20
96600	170	63	185	78	20

#CLOUD
97000	113	45	128	60	20
97100	131	45	146	60	20
97200	149	45	164	60	20
97300	113	62	128	77	20
97400	131	62	146	77	20
97500	149	62	164	77	20

#BOX
#PINK
98100	9	62	24	77	20
98110	26	62	41	77	20
98120	43	62	58	77	20
98130	9	79	24	94	20
98140	26	79	41	94	20
98150	43	79	58	94	20
98160	9	96	24	111	20
98170	26	96	41	111	20
98180	43	96	58	111	20

#BLUE
98200	60	62	75	77	20
98210	77	62	92	77	20
98220	94	62	109	77	20
98230	60	79	75	94	20
98240	77	79	92	94	20
98250	94	79	109	94	20
98260	60	96	75	111	20
98270	77	96	92	111	20
98280	94	96	109	111	20

#GREEN
98300	60	11	75	26	20
98310	77	11	92	26	20
98320	94	11	109	26	20
98330	60	28	75	43	20
98340	77	28	92	43	20
98350	94	28	109	43	20
98360	60	45	75	60	20
98370	77	45	92	60	20
98380	94	45	109	60	20

#WHITE
98400	9	11	24	26	20
98410	26	11	41	26	20
98420	43	11	58	26	20
98430	9	28	24	43	20
98440	26	28	41	43	20
98450	43	28	58	43	20
98460	9	45	24	60	20
98470	26	45	41	60	20
98480	43	45	58	60	20

#SHADOW
98500	111	79	126	94	20
98510	111	96	126	111	20
98520	111	113	126	128	20
98530	94	113	109	128	20
98540	77	113	92	128	20

#BLACK
99000	244	12	259	27	20
99100	261	12	276	27	20
99200	244	29	259	44	20
99300	261	29	276	44	20
99400	244	63	259	78	20
99500	261	63	276	78	20
99600	207	12	222	27	20
99700	224	12	239	27	20
99800	207	29	222	44	20
99900	224	29	239	44	20

########### WORLD MAP ############
#GROUND
51000	9	132	24	147	20
#START
52000	26	132	41	147	20
#PATH
53000	43	132	58	147	20
53100	60	132	75	147	20
53200	77	132	92	147	20
53300	94	132	109	147	20
53400	111	132	126	147	20
#LEVEL
54100	9	150	24	165	20
54200	26	150	41	165	20
54300	43	150	58	165	20
54400	60	150	75	165	20
54500	77	150	92	165	20
54600	94	150	109	165	20
#BUSH
55000	111	150	126	165	20
#ROCK
56000	111	168	126	183	20
#SPECIAL LEVEL
57000	9	168	24	183	20
57100	26	168	41	183	20
57200	43	168	58	183	20
57300	60	168	75	183	20
57310	77	168	92	183	20
#RIVER
58000	9	186	24	201	20
58100	26	186	41	201	20
58200	43	186	58	201	20
58300	60	186	75	201	20
58400	77	186	92	201	20
58500	94	186	109	201	20
#BRIDGE
59000	94	168	109	183	20
